feature,importance
state of previous residence_Connecticut,0.023645579503574286
detailed industry recode_15,0.02350542462067937
state of previous residence_Colorado,0.023417042582068316
country of birth self_Ecuador,0.02316855074919126
major industry code_Forestry and fisheries,0.0229181024166256
detailed industry recode_46,0.0229181024166256
country of birth father_Dominican-Republic,0.022824450383356017
family members under 18_Neither parent present,0.02281738247114122
state of previous residence_Kentucky,0.022438805106689094
country of birth father_India,0.02233760154617397
state of previous residence_Vermont,0.022247531279532256
country of birth father_France,0.02185875562561112
country of birth mother_Holand-Netherlands,0.02168823218785919
detailed industry recode_7,0.021290388347196786
detailed household summary in household_Group Quarters- Secondary individual,0.021179697823334336
country of birth mother_Hungary,0.021166220932904233
country of birth mother_Cuba,0.021141231078541996
detailed occupation recode_30,0.021031889702492687
state of previous residence_Iowa,0.02072729876276728
family members under 18_Father only present,0.020277254274154936
major industry code_Public administration,0.019731355200877636
country of birth self_Ireland,0.019612708632623356
country of birth father_Scotland,0.01958718661620552
country of birth father_Hong Kong,0.019555268172928405
state of previous residence_Maryland,0.019436732725838592
country of birth mother_Greece,0.01943056190111778
state of previous residence_Arkansas,0.01923138441134442
country of birth self_Greece,0.019098453912231084
state of previous residence_Ohio,0.018769176788960465
major industry code_Wholesale trade,0.018687700069244792
detailed industry recode_32,0.018687700069244792
country of birth father_Iran,0.018409874035964943
detailed household and family stat_Grandchild <18 never marr child of subfamily RP,0.018280018484166095
state of previous residence_Oklahoma,0.018188721409556005
state of previous residence_Florida,0.017882727751155274
country of birth self_Vietnam,0.017673160137323524
detailed occupation recode_43,0.017653793814435166
country of birth father_Holand-Netherlands,0.016789107705503643
country of birth self_South Korea,0.016586468339619274
migration code-change in msa_Nonmover,0.016322562327176136
migration code-move within reg_Nonmover,0.016322562327176136
live in this house 1 year ago_Yes,0.016322562327176136
migration code-change in reg_Nonmover,0.016322562327176136
state of previous residence_Oregon,0.016246763901953645
country of birth mother_South Korea,0.01623045551038272
hispanic origin_Cuban,0.015868781131417903
state of previous residence_Nebraska,0.015509416950064851
state of previous residence_Abroad,0.015168110807668899
state of previous residence_North Carolina,0.014687253741744918
state of previous residence_Maine,0.01447682952966437
full or part time employment stat_PT for econ reasons usually PT,0.01347973911504399
country of birth self_Iran,0.01322972439960085
country of birth self_India,0.013228044399221144
detailed household and family stat_Grandchild <18 never marr not in subfamily,0.013010224406002384
state of previous residence_Utah,0.012960383486901728
migration code-change in msa_Abroad to nonMSA,0.012718344121220096
country of birth father_Yugoslavia,0.012693307269022083
state of previous residence_Michigan,0.012550814262911995
detailed household and family stat_Grandchild 18+ ever marr not in subfamily,0.012287038017137684
detailed industry recode_1,0.012274318607184314
state of previous residence_Virginia,0.012107665322790286
migration code-change in reg_Abroad,0.011979857803684362
region of previous residence_Abroad,0.011979857803684362
migration code-move within reg_Abroad,0.011979857803684362
migration code-move within reg_Not in universe,0.011382056354643458
migration code-change in reg_Not in universe,0.011382056354643458
migration code-change in msa_Not in universe,0.011382056354643458
state of previous residence_New York,0.011221108215503244
detailed household and family stat_Child 18+ never marr RP of subfamily,0.010811455254742258
detailed household and family stat_Child under 18 of RP of unrel subfamily,0.010662800832421276
country of birth father_Thailand,0.010466885135434022
country of birth self_Hungary,0.010378191286373665
detailed occupation recode_20,0.01029735584743483
country of birth mother_Peru,0.010291905915417687
country of birth mother_Iran,0.010262650027938872
state of previous residence_Kansas,0.010156487130135084
detailed occupation recode_14,0.009960044105310626
detailed household and family stat_Other Rel <18 never marr not in subfamily,0.009686164155669768
detailed household and family stat_Child 18+ spouse of subfamily RP,0.009329914574323667
state of previous residence_New Jersey,0.009116124997519015
state of previous residence_Delaware,0.009063246281457864
country of birth self_Italy,0.008861105067330751
detailed household and family stat_Other Rel 18+ never marr RP of subfamily,0.008646718229614997
state of previous residence_South Carolina,0.008281174263360625
country of birth self_Holand-Netherlands,0.008227521142727644
detailed household and family stat_Other Rel <18 never marr child of subfamily RP,0.007463987966497678
country of birth mother_Panama,0.007362615248439196
country of birth father_Hungary,0.007259094226262223
country of birth father_Outlying-U S (Guam USVI etc),0.007245461367833555
state of previous residence_Alabama,0.0070699785086388535
country of birth self_Panama,0.006739783485821254
country of birth mother_Vietnam,0.006346301297575983
detailed industry recode_49,0.006271075533471781
state of previous residence_Illinois,0.006058779886775223
country of birth father_Cuba,0.005966292490737648
state of previous residence_Idaho,0.00591892152391952
country of birth father_Panama,0.005814500476178998
country of birth self_Peru,0.005787770660000272
country of birth father_Peru,0.005417229699656587
migration code-move within reg_Different state in West,0.0049467993380469645
fill inc questionnaire for veteran's admin_No,0.0047542515868848785
country of birth father_Trinadad&Tobago,0.004408974515329821
country of birth father_South Korea,0.003874417710383146
state of previous residence_Tennessee,0.0037133084751578833
country of birth mother_China,0.003615338873579213
country of birth self_Yugoslavia,0.0035736389561395326
member of a labor union_Yes,0.003484181898970295
state of previous residence_Wisconsin,0.0033762552386699084
state of previous residence_West Virginia,0.003178342342736626
detailed industry recode_8,0.002967614628468266
detailed household and family stat_Grandchild 18+ ever marr RP of subfamily,0.0024757353252663644
country of birth mother_Trinadad&Tobago,0.002474072030534245
detailed household and family stat_Child <18 never marr RP of subfamily,0.002373916009970509
detailed industry recode_16,0.0023214316479858127
detailed household and family stat_Grandchild 18+ spouse of subfamily RP,0.0020886814407523376
hispanic origin_Mexican-American,0.0019906775793838887
detailed household and family stat_Other Rel 18+ spouse of subfamily RP,0.0019154881835371045
country of birth mother_Canada,0.0018434027612741896
detailed occupation recode_45,0.0018221255155609069
hispanic origin_Chicano,0.0015749976312909614
detailed household summary in household_Child under 18 ever married,0.0014738262691289736
enroll in edu inst last wk_Not in universe,0.001350878820346718
state of previous residence_New Hampshire,0.0012976293674627885
detailed industry recode_10,0.001022986714914006
country of birth father_Japan,0.0008278035499527564
detailed household and family stat_Child <18 ever marr not in subfamily,0.000748093772411291
country of birth self_Japan,0.0007367731738401128
detailed household and family stat_Child <18 ever marr RP of subfamily,0.0006974153112035186
detailed household and family stat_Other Rel <18 ever marr RP of subfamily,0.0006916385792839661
tax filer stat_Single,0.000658016106925637
capital losses,0.0006176658692590065
country of birth self_Thailand,0.0005876639276147763
country of birth mother_Thailand,0.00035261040546299787
detailed household and family stat_Grandchild 18+ never marr RP of subfamily,0.0003032812644178209
dividends from stocks,0.00023331208350329318
country of birth father_Vietnam,0.00020479002106857903
capital gains,0.0001537954664736154
detailed household and family stat_Grandchild <18 ever marr not in subfamily,0.00010569620621408048
detailed industry recode_35,5.741362228969806e-05
detailed household and family stat_Other Rel <18 spouse of subfamily RP,4.294296768959806e-05
detailed household and family stat_Other Rel <18 never married RP of subfamily,4.0324810305994967e-05
detailed household and family stat_Child <18 spouse of subfamily RP,2.831718551416342e-05
detailed household and family stat_Grandchild <18 never marr RP of subfamily,1.675960204740654e-05
detailed household and family stat_Other Rel <18 ever marr not in subfamily,1.529770325495938e-05
wage per hour,1.1748225779694279e-05
